Shipping,origin,dest,yearmake,modeltrim,price,Miles,store
$1999,CA,PA,2016 Nissan,Leaf S,$9599,46K,Oxnard
Shipping not available,N/A,N/A,2017 Nissan,Leaf S,$9599,40K,Costa Mesa
$1999,CA,PA,2015 Nissan,Leaf SV,$9599,57K,Pleasanton
$1999,CA,PA,2015 Nissan,Leaf SV,$9599,37K,Palmdale
$1999,WA,PA,2015 Nissan,Leaf SV,$9599,50K,Lynnwood
$1999,CA,PA,2015 Smart,Fortwo Pure,$9599,6K,Canoga Park
$899,LA,PA,2016 Chevrolet,Sonic LS,$9998,31K,Baton Rouge
Shipping not available,N/A,N/A,2016 Chevrolet,Spark LS,$9998,68K,Sacramento South
Shipping not available,N/A,N/A,2015 Chevrolet,Spark LS,$9998,57K,Ft. Lauderdale
$1299,CO,PA,2015 Chevrolet,Spark LS,$9998,47K,Parker
$1999,AZ,PA,2016 Chevrolet,Spark EV LT,$9998,42K,Tucson
$1999,CA,PA,2015 Chevrolet,Spark EV LT,$9998,61K,San Gabriel Valley/Duarte
$1299,CO,PA,2015 Fiat,500 Pop,$9998,52K,West 104th Ave
Coming soon,N/A,N/A,2015 Fiat,500 Sport,$9998,58K,Birmingham
