Shipping,origin,dest,yearmake,modeltrim,price,Miles,store
$1299,CA,TX,2015 Nissan,Leaf SV,$9599,57K,Pleasanton
$999,CA,TX,2015 Nissan,Leaf SV,$9599,37K,Palmdale
$1799,WA,TX,2015 Nissan,Leaf SV,$9599,50K,Lynnwood
$999,CA,TX,2015 Smart,Fortwo Pure,$9599,6K,Canoga Park
$99,LA,TX,2016 Chevrolet,Sonic LS,$9998,31K,Baton Rouge
Shipping not available,N/A,N/A,2016 Chevrolet,Spark LS,$9998,68K,Sacramento South
Shipping not available,N/A,N/A,2015 Chevrolet,Spark LS,$9998,57K,Ft. Lauderdale
$249,CO,TX,2015 Chevrolet,Spark LS,$9998,47K,Parker
$499,AZ,TX,2016 Chevrolet,Spark EV LT,$9998,42K,Tucson
$999,CA,TX,2015 Chevrolet,Spark EV LT,$9998,61K,San Gabriel Valley/Duarte
$249,CO,TX,2015 Fiat,500 Pop,$9998,52K,West 104th Ave
Coming soon,N/A,N/A,2015 Fiat,500 Sport,$9998,58K,Birmingham
$1799,WA,TX,2015 Fiat,500L Pop,$9998,60K,Renton
$399,IL,TX,2015 Ford,Fiesta SE,$9998,50K,Schaumburg
$1299,CA,TX,2015 Ford,Focus Electric,$9998,22K,Serramonte
$499,SC,TX,2015 Mitsubishi,Mirage DE,$9998,57K,Columbia
Free,TX,TX,2015 Mitsubishi,Mirage DE,$9998,49K,Southwest Freeway
$1299,CA,TX,2017 Nissan,Leaf S,$9998,36K,Serramonte
$1299,CA,TX,2016 Nissan,Leaf S,$9998,18K,Serramonte
$1299,CA,TX,2017 Nissan,Leaf S,$9998,36K,Capitol Expressway
$1299,CA,TX,2017 Nissan,Leaf S,$9998,25K,Santa Rosa
$1299,CA,TX,2017 Nissan,Leaf S,$9998,32K,Serramonte
$1499,NV,TX,2017 Nissan,Leaf S,$9998,44K,Reno
$1299,CA,TX,2017 Nissan,Leaf S,$9998,34K,Sacramento/Roseville
$1299,CA,TX,2017 Nissan,Leaf S,$9998,44K,Serramonte
$999,CA,TX,2017 Nissan,Leaf S,$9998,39K,Burbank
$799,NV,TX,2017 Nissan,Leaf S,$9998,32K,Henderson
$1299,CA,TX,2017 Nissan,Leaf S,$9998,25K,Santa Rosa
$1299,CA,TX,2017 Nissan,Leaf S,$9998,22K,Fremont
$1499,WA,TX,2016 Nissan,Leaf S,$9998,25K,Spokane
$1299,CA,TX,2017 Nissan,Leaf S,$9998,22K,Fremont
Shipping not available,N/A,N/A,2017 Nissan,Leaf S,$9998,29K,Kearny Mesa
$1299,CA,TX,2015 Nissan,Leaf S,$9998,24K,Capitol Expressway
$799,NV,TX,2016 Nissan,Leaf S,$9998,21K,West Sahara
$999,CA,TX,2016 Nissan,Leaf S,$9998,25K,Murrieta
$1799,WA,TX,2017 Nissan,Leaf S,$9998,23K,Vancouver
Free,TX,TX,2015 Nissan,Leaf SV,$9998,47K,Lubbock
Shipping not available,N/A,N/A,2017 Nissan,Leaf SV,$9998,39K,Capitol Expressway
