alabama,alabama,"0"
alabama,alaska,"5,503"
alabama,arizona,"2,259"
alabama,arkansas,"557"
alabama,california,"3,010"
alabama,colorado,"1,878"
alabama,connecticut,"1,601"
alabama,delaware,"1,262"
alabama,florida,"732"
alabama,georgia,"10,310"
alabama,hawaii,"6,895"
alabama,idaho,"2,747"
alabama,illinois,"949"
alabama,indiana,"885"
alabama,iowa,"1,195"
alabama,kansas,"1,283"
alabama,kentucky,"658"
alabama,louisiana,"502"
alabama,maine,"2,080"
alabama,maryland,"1,190"
alabama,massachusetts,"1,768"
alabama,michigan,"1,336"
alabama,minnesota,"1,732"
alabama,mississippi,"235"
alabama,missouri,"771"
alabama,montana-us,"2,566"
alabama,nebraska,"1,539"
alabama,nevada,"2,758"
alabama,new-hampshire,"1,806"
alabama,new-jersey,"1,412"
alabama,new-mexico,"1,778"
alabama,new-york,"1,481"
alabama,north-carolina,"822"
alabama,north-dakota,"2,070"
alabama,ohio,"967"
alabama,oklahoma,"991"
alabama,oregon,"3,189"
alabama,pennsylvania,"1,311"
alabama,rhode-island,"1,711"
alabama,south-carolina,"562"
alabama,south-dakota,"1,719"
alabama,tennessee,"356"
alabama,texas,"1,226"
alabama,utah,"2,312"
alabama,vermont,"1,841"
alabama,virginia,"943"
alabama,washington,"3,452"
alabama,west-virginia,"909"
alabama,wisconsin,"1,283"
alabama,wyoming,"2,149"
alaska,alabama,"5,503"
alaska,alaska,"0"
alaska,arizona,"4,244"
alaska,arkansas,"4,994"
alaska,california,"3,650"
alaska,colorado,"3,936"
alaska,connecticut,"5,307"
alaska,delaware,"5,436"
alaska,florida,"6,210"
alaska,georgia,"8,141"
alaska,hawaii,"4,942"
alaska,idaho,"3,118"
alaska,illinois,"4,606"
alaska,indiana,"4,798"
alaska,iowa,"4,314"
alaska,kansas,"4,321"
alaska,kentucky,"5,111"
alaska,louisiana,"5,391"
alaska,maine,"5,150"
alaska,maryland,"5,370"
alaska,massachusetts,"5,315"
alaska,michigan,"4,460"
alaska,minnesota,"3,809"
alaska,mississippi,"5,380"
alaska,missouri,"4,734"
alaska,montana-us,"3,053"
alaska,nebraska,"4,025"
alaska,nevada,"3,559"
alaska,new-hampshire,"5,235"
alaska,new-jersey,"5,385"
alaska,new-mexico,"4,417"
alaska,new-york,"5,344"
alaska,north-carolina,"5,560"
alaska,north-dakota,"3,434"
alaska,ohio,"4,941"
alaska,oklahoma,"4,765"
alaska,oregon,"2,907"
alaska,pennsylvania,"5,146"
alaska,rhode-island,"5,386"
alaska,south-carolina,"5,637"
alaska,south-dakota,"3,800"
alaska,tennessee,"5,216"
alaska,texas,"4,929"
alaska,utah,"3,726"
alaska,vermont,"5,065"
alaska,virginia,"5,422"
alaska,washington,"2,504"
alaska,west-virginia,"5,226"
alaska,wisconsin,"4,352"
alaska,wyoming,"3,538"
arizona,alabama,"2,259"
arizona,alaska,"4,244"
arizona,arizona,"0"
arizona,arkansas,"1,768"
arizona,california,"814"
arizona,colorado,"773"
arizona,connecticut,"3,420"
arizona,delaware,"3,212"
arizona,florida,"2,905"
arizona,georgia,"11,158"
arizona,hawaii,"4,645"
arizona,idaho,"1,156"
arizona,illinois,"2,050"
arizona,indiana,"2,313"
arizona,iowa,"1,799"
arizona,kansas,"1,255"
arizona,kentucky,"2,448"
arizona,louisiana,"1,827"
arizona,maine,"3,737"
arizona,maryland,"3,115"
arizona,massachusetts,"3,564"
arizona,michigan,"2,466"
arizona,minnesota,"1,973"
arizona,mississippi,"2,028"
arizona,missouri,"1,786"
arizona,montana-us,"1,426"
arizona,nebraska,"1,284"
arizona,nevada,"711"
arizona,new-hampshire,"3,552"
arizona,new-jersey,"3,306"
arizona,new-mexico,"484"
arizona,new-york,"3,341"
arizona,north-carolina,"2,925"
arizona,north-dakota,"1,721"
arizona,ohio,"2,587"
arizona,oklahoma,"1,289"
arizona,oregon,"1,357"
arizona,pennsylvania,"3,075"
arizona,rhode-island,"3,554"
arizona,south-carolina,"2,757"
arizona,south-dakota,"1,464"
arizona,tennessee,"2,244"
arizona,texas,"1,070"
